,text
692,"<s>[INST]Giá trị của biểu thức 640 / (8 – 3) ${\times}$ 2 là:, các đáp án
256
154
74
64[/INST]</s>
Lời giải:640 : (8 – 3) ${\times}$ 2
 = $\frac{640}{5}$ ${\times}$ 2
 = 128 ${\times}$ 2
 = 256
Chọn đáp án:256"
693,"<s>[INST]Giá trị của biểu thức 88394 - 49350 - 14859 là:, các đáp án
24747
24185
24285
24386[/INST]</s>
Lời giải:nan
Chọn đáp án:24185"
694,"<s>[INST]Giá trị của biểu thức 999,5 – 26,6 ${\times}$ 37,02 là:, các đáp án
14,768
147,68
1476,8
14768[/INST]</s>
Lời giải:Ta có: 999,5 – 26,6 ${\times}$ 37,02 = 999,5 – 984,732 = 14,768. 
 Vậy giá trị của biểu thức 999,5 – 26,6 ${\times}$ 37,02 là: 14,768
Chọn đáp án:14,768"
695,"<s>[INST]Giá trị của biểu thức A = 46 ${\times}$ m + 46 ${\times}$ n + 46 ${\times}$ p với m = 7, n = 8, p = 9 là:, các đáp án
A = 1104
A = 1137
A = 1172
A = 1163[/INST]</s>
Lời giải:nan
Chọn đáp án:A = 1104"
696,"<s>[INST]“1,5 giờ = …….phút”. Số thích hợp điền vào chỗ chấm là:, các đáp án
60
90
120
150[/INST]</s>
Lời giải:1,5 giờ = 1,5 ${\times}$ 60 phút = 90 phút. .
Chọn đáp án:90"
697,"<s>[INST]Giá trị của biểu thức M = 14 ${\times}$ a + 14 ${\times}$ b + 14 ${\times}$ c với a = 1, b = 2 và c = 3 là:, các đáp án
92
100
84
96[/INST]</s>
Lời giải:nan
Chọn đáp án:92"
698,"<s>[INST]Giá trị của biểu thức: 136,5 – ($\frac{100}{2}$,5) ${\times}$ 0,9 là:
100,5
110,5
100[/INST]</s>
Lời giải:nan
chọn đáp án:100,5"
699,"<s>[INST]Giá trị của biểu thức: $\frac{15}{1}$,5 + 2,5 ${\times}$ 0,2 là:, các đáp án
10,5
15
10,05
1,05[/INST]</s>
Lời giải:nan
Chọn đáp án:10,5"
700,"<s>[INST]Giá trị của biểu thức: $\frac{201}{1}$,5 + 2,5 ${\times}$ 0,9 là:, các đáp án
359
136,25
15,65
359[/INST]</s>
Lời giải:nan
Chọn đáp án:136,25"
701,"<s>[INST]Giá trị của biểu thức: 45 + $\frac{40}{5}$ là, các đáp án
53
17
49
28[/INST]</s>
Lời giải:Giá trị của biểu thức: 45 + $\frac{40}{5}$ = 53
Chọn đáp án:53"
702,"<s>[INST]Giá trị của biểu thức: 47,2 ${\times}$ 5 + $\\frac{107,1}{2,5}$ là:, các đáp án
137,24
1372,4
278,84
27,884[/INST]</s>
Lời giải:nan
Chọn đáp án:278,84"
703,"<s>[INST]Giá trị của chữ số 2 trong số 515820 là:, các đáp án
2 nghìn
2 trăm
2 chục
2 đơn vị[/INST]</s>
Lời giải:Giá trị của chữ số 2 trong số 515820 là: 2 chục
Chọn đáp án:2 chục"
704,"<s>[INST]Giá trị của chữ số 3 trong số 2,035 là:, các đáp án
30
3
3/10
3/100[/INST]</s>
Lời giải:Giá trị của chữ số 3 trong số 2,035 là: $\frac{3}{100}$
Chọn đáp án:$\frac{3}{100}$"
705,"<s>[INST]Giá trị của chữ số 3 trong số thập phân 25,036 là:, các đáp án
$\frac{3}{10}$
$\frac{3}{100}$
$\frac{3}{1000}$
$\frac{3}{10000}$[/INST]</s>
Lời giải:Giá trị của chữ số 3 trong số thập phân 25,036 là: $\frac{3}{100}$
Chọn đáp án:$\frac{3}{100}$"
706,"<s>[INST]Giá trị của chữ số 5 trong số 24,856 là:, các đáp án
50
5
0,5
0,05[/INST]</s>
Lời giải:nan
Chọn đáp án:0,05"
707,"<s>[INST]“1,75m2 = …….cm2” Số thích hợp viết vào chỗ chấm là:, các đáp án
175
1750
17500
17050[/INST]</s>
Lời giải:1,75m2 = 17500cm2. Số thích hợp viết vào chỗ chấm là: 17500.
Chọn đáp án:17500"
708,"<s>[INST]Giá trị của chữ số 5 trong số 25403 là:, các đáp án
5000
50 000
500
50[/INST]</s>
Lời giải:Số 5 nằm ở hàng nghìn. Giá trị của chữ số 5 trong số 25403 là: 5000
Chọn đáp án:5000"
709,"<s>[INST]Giá trị của chữ số 5 trong số 32,075 là:, các đáp án
$\frac{5}{10}$
$\frac{5}{100}$
$\frac{5}{1000}$
$\frac{5}{10000}$[/INST]</s>
Lời giải:Giá trị của chữ số 5 trong số 32,075 là: $\frac{5}{1000}$
Chọn đáp án:$\frac{5}{10000}$"
710,"<s>[INST]Giá trị của chữ số 5 trong số 45874 là:, các đáp án
50 000
5 000
500
50[/INST]</s>
Lời giải:45874 = 40000 + 5000 + 800 + 70 + 4
 Vậy giá trị của chữ số 5 trong số 45874 là: 5000
Chọn đáp án:5000"
711,"<s>[INST]Giá trị của chữ số 6 trong số 569 là:, các đáp án
56
60
6
69[/INST]</s>
Lời giải:Số 6 nằm ở hàng chục. Giá trị của chữ số 6 trong số 569 là: 60
Chọn đáp án:60"
712,"<s>[INST]Giá trị của chữ số 6 trong số thập phân 21,5672 là:, các đáp án
$\frac{6}{10}$
$\frac{6}{100}$
$\frac{6}{1000}$
$\frac{6}{10000}$[/INST]</s>
Lời giải:Ta thấy số 6 trong số thập phân 21,5672 ở vị trí hàng phần trăm. Vậy giá trị của chữ số 6 trong số thập phân 21,5672 là: $\frac{6}{100}$ .
Chọn đáp án:$\frac{6}{100}$"
713,"<s>[INST]Giá trị của chữ số 7 trong số 57104 là:, các đáp án
70
700
7000
70 000[/INST]</s>
Lời giải:Giá trị của chữ số 7 trong số 57104 là: 7000
Chọn đáp án:7000"
714,"<s>[INST]Giá trị của chữ số 9 trong số 7,0009 là:, các đáp án
$\frac{9}{10}$
$\frac{9}{100}$
$\frac{9}{1000}$
$\frac{9}{10000}$[/INST]</s>
Lời giải:Số 9 nằm ở hàng phần chục nghìn. Giá trị của chữ số 9 trong số 7,0009 là: $\frac{9}{10000}$
Chọn đáp án:$\frac{9}{10000}$"
715,"<s>[INST]Giá trị của số 5 trong số 65478 là:, các đáp án
5000
500
50 000
50[/INST]</s>
Lời giải:Giá trị của số 5 trong số 65478 là: 5000
Chọn đáp án:5000"
716,"<s>[INST]Giá trị của số 8 trong số 4,018 là:, các đáp án
$\frac{8}{10}$
$\frac{8}{100}$
$\frac{8}{1000}$
$\frac{8}{10000}$[/INST]</s>
Lời giải:Giá trị của số 8 trong số 4,018 là: $\frac{8}{1000}$
Chọn đáp án:$\frac{8}{1000}$"
717,"<s>[INST]“19 m29 dm2 = …… m2”. Số thích hợp để điền vào chỗ chấm là:, các đáp án
19,9
19,09
199
1909[/INST]</s>
Lời giải:19 m29 dm2 = 19,09 m2”. Số thích hợp để điền vào chỗ chấm là: 19,09
Chọn đáp án:19,09"
718,"<s>[INST]Giá trị của X thỏa mãn 3729 + X / 2 = 8283 là:, các đáp án
X = 9156
X = 9614
X = 9260
X = 9108[/INST]</s>
Lời giải:nan
Chọn đáp án:X = 9108"
719,"<s>[INST]Giá trị của X thỏa mãn X – 27,5 = 15,34 là:, các đáp án
X = 42,17
X = 44,36
X = 42,84
X = 44,28[/INST]</s>
Lời giải:Giá trị của X = 15,34 + 17,5 = 42,84
Chọn đáp án:X = 42,84"
720,"<s>[INST]Giá trị của X thỏa mãn X – 278 = 167 x 486 là:, các đáp án
81640
81360
81660
81440[/INST]</s>
Lời giải:Giá trị của X = 167 ${\times}$ 486 + 278 = 81440
Chọn đáp án:81440"
721,"<s>[INST]Giá trị của X thỏa mãn X / 20 = 893 là:, các đáp án
X = 17860
X = 17850
X = 15780
X = 13580[/INST]</s>
Lời giải:Vì $\frac{17860}{20}$ = 893 nên Giá trị của X là: 17860
Chọn đáp án:X = 17860"
722,"<s>[INST]Giá trị của X thỏa mãn X ${\times}$ (12 + 34) = 52 ${\times}$ 12 + 52 ${\times}$ 34 là:, các đáp án
42
38
46
52[/INST]</s>
Lời giải:nan
Chọn đáp án:52"
723,"<s>[INST]Giá trị của X thỏa mãn X ${\times}$ 29 – 829 = 2651 là:, các đáp án
X = 100
X = 110
X = 120
X =130[/INST]</s>
Lời giải:nan
Chọn đáp án:X = 120"
724,"<s>[INST]Giá trị của X thỏa mãn: 81 / X = 3 là:, các đáp án
X = 27
X = 25
X = 17
X = 16[/INST]</s>
Lời giải: $\frac{81}{27}$ = 3 nên Giá trị của X là 27
Chọn đáp án:X = 27"
725,"<s>[INST]Giá trị của y trong $\frac{5+y}{12}=\frac{2}{3}$ là:, các đáp án
1
2
3
4[/INST]</s>
Lời giải:nan
Chọn đáp án:3"
726,"<s>[INST]Giá trị X thỏa mãn 24 / X = 8 là:, các đáp án
5
4
3
2[/INST]</s>
Lời giải:$\frac{24}{3}$ = 8 nên Giá trị X là: 3
Chọn đáp án:3"
727,"<s>[INST]Giá trị X thỏa mãn X / 4 = 127 là:, các đáp án
X = 528
X = 518
X = 508
X = 510[/INST]</s>
Lời giải:nan
Chọn đáp án:X = 508"
728,"<s>[INST]“2 giờ = .... phút”. Số thích hợp điền vào chỗ chấm là:, các đáp án
60
180
90
120[/INST]</s>
Lời giải:1 giờ = 60 phút
 Vậy 2 giờ = 60 phút ${\times}$ 2 = 120 phút.
Chọn đáp án:120"
729,"<s>[INST]Giá trị X thỏa mãn X ${\times}$ 2 = 7 ${\times}$ 8 là:, các đáp án
32
28
14
7[/INST]</s>
Lời giải:nan
Chọn đáp án:28"
730,"<s>[INST]Giá trị X thỏa mãn X ${\times}$ 4 = 8 ${\times}$ 4 là:, các đáp án
6
12
8
10[/INST]</s>
Lời giải:nan
Chọn đáp án:8"
731,"<s>[INST]Giá trị X thỏa mãn X ${\times}$ 9 + 10 = 82 là:, các đáp án
X = 8
X = 7
X = 6
X = 5[/INST]</s>
Lời giải:nan
Chọn đáp án:X = 8"
732,"<s>[INST]Giá trị X thỏa mãn: X ${\times}$ 9 = 81 là:, các đáp án
10
9
8
7[/INST]</s>
Lời giải:nan
Chọn đáp án:9"
733,"<s>[INST]Giảm 12 lít đi 3 lần được:, các đáp án
7 lít
5 lít
4 lít
6 lít[/INST]</s>
Lời giải:Giảm 12 lít đi 3 lần được: $\frac{12}{3}$ = 4 lít
Chọn đáp án:4 lít"
734,"<s>[INST]Giảm 28 đi 4 lần ta được:, các đáp án
5
6
7
8[/INST]</s>
Lời giải:Giảm 28 đi 4 lần được: $\frac{28}{4}$ = 7
Chọn đáp án:7"
735,"<s>[INST]Giảm 36cm đi 4 lần được:, các đáp án
6cm
8cm
9cm
7cm[/INST]</s>
Lời giải:Giảm 36cm đi 4 lần được: $\frac{36}{4}$ = 9 cm
Chọn đáp án:9cm"
736,"<s>[INST]Giảm 408 đi 4 lần ta được:, các đáp án
102
404
201
412[/INST]</s>
Lời giải:Giảm 408 đi 4 lần được: $\frac{408}{4}$ = 102
Chọn đáp án:102"
737,"<s>[INST]Giảm 84 đi 4 lần ta được:, các đáp án
80
41
21
20[/INST]</s>
Lời giải:Giảm 84 đi 4 lần ta được: $\frac{84}{4}$ = 21
Chọn đáp án:21"
738,"<s>[INST]Giảm 86 đi 2 lần ta được:, các đáp án
43
84
34
88[/INST]</s>
Lời giải:Giảm 86 đi 2 lần ta được: $\frac{86}{2}$ = 43
Chọn đáp án:43"
739,"<s>[INST]“2 giờ 30 phút = …..phút”. Số thích hợp cần điền vào chỗ chấm là:, các đáp án
2,5
15,5
150
230[/INST]</s>
Lời giải:2 giờ 30 phút = 150 phút
Chọn đáp án:150"
740,"<s>[INST]Hà cần một chiếc hộp để đựng 4 cái bánh hình tròn có bán kính là 4 cm. Hà tìm được một cửa hàng bán loại hộp giấy hình vuông có các kích cỡ (độ đài của cạnh hộp) là 80 mm, 100 mm, 140 mm, 160 mm. Để đựng vừa số bánh trên, Hà nên chọn mua chiếc hộp cạnh dài là:, các đáp án
80 mm
100 mm
140 mm
160 mm[/INST]</s>
Lời giải:nan
Chọn đáp án:160 mm"
741,"<s>[INST]Hà có 16 bông hoa, số bông hoa của Hoa gấp 4 lần số bông hoa của Hà. Hoa có số bông hoa là:, các đáp án
60 bông hoa
42 bông hoa
36 bông hoa
64 bông hoa[/INST]</s>
Lời giải:Hà có 16 bông hoa, số bông hoa của Hoa gấp 4 lần số bông hoa của Hà. Hoa có số bông hoa là: 16 ${\times}$ 4 = 64
Chọn đáp án:64 bông hoa"
742,"<s>[INST]Hà đi học lúc 13 giờ, lúc đó thuộc buổi nào?, các đáp án
Sáng
Trưa
Tối
Chiều[/INST]</s>
Lời giải:Hà đi học lúc 13 giờ, lúc đó thuộc buổi chiều
Chọn đáp án:Chiều"
743,"<s>[INST]Hà được mẹ cho hai tờ 10000 đồng để mua bút. Hà đã mua hết 15000 đồng. Số tiền còn lại của Hà là:, các đáp án
3000 đồng
5000 đồng
6000 đồng
15000 đồng[/INST]</s>
Lời giải:Hà được mẹ cho hai tờ 10000 đồng để mua bút. Hà đã mua hết 15000 đồng. Số tiền còn lại của Hà là: 2 ${\times}$ 10000 = 5000
Chọn đáp án:5000 đồng"
744,"<s>[INST]Hà giúp mẹ dán hoa giấy lên 25 hộp quà có dạng khối lập phương. Mỗi mặt của hộp quà Hà dán một bông hoa giấy. Hỏi Hà cần chuẩn bị bao nhiêu bông hoa giấy để đủ dán cho số hộp quà đó?, các đáp án
126 bông hoa
120 bông hoa
150 bông hoa
100 bông hoa[/INST]</s>
Lời giải:Khối lập phương có 6 mặt. Hà giúp mẹ dán hoa giấy lên 25 hộp quà có dạng khối lập phương. Mỗi mặt của hộp quà Hà dán một bông hoa giấy. Vậy Hà cần chuẩn bị: 25 ${\times}$ 6 = 150
Chọn đáp án:150 bông hoa"
745,"<s>[INST]Hà hái được nhiều hoa hơn My. Sau khi hái thêm 12 bông thì My lại có nhiều hơn Hà 5 bông hoa. Lúc đầu, Hà hái được nhiều hơn My là:, các đáp án
8 bông hoa
7 bông hoa
17 bông hoa
10 bông hoa[/INST]</s>
Lời giải:Lúc đầu, Hà hái được nhiều hơn My là: 12 – 5 = 7 (bông hoa)
Chọn đáp án:7 bông hoa"
746,"<s>[INST]Hà mua 3 quyển vở và đưa cô bán hàng tờ 50000 đồng. Cô bán hàng trả lại Hà 14000 đồng. Vậy mỗi quyển vở có giá là:, các đáp án
12 000 đồng
14 000 đồng
13 000 đồng
11 000 đồng[/INST]</s>
Lời giải:Hà mua 3 quyển vở hết số tiền là: 50000 – 14000 = 36000 (đồng)
 Mỗi quyển vở có giá là: $\frac{36000}{3}$ = 12000 (đồng)
Chọn đáp án:12000 đồng"
747,"<s>[INST]Hà mua 5 quyển vở, mỗi quyển giá 12000 đồng. Hà đưa cô bán hàng 3 tờ tiền giống nhau thì vừa đủ. Vậy 3 tờ tiền Hà đưa cô bán hàng có mệnh giá là:, các đáp án
2 000 đồng
5 000 đồng
10 000 đồng
20 000 đồng[/INST]</s>
Lời giải:5 quyển vở có giá là:12000 ${\times}$ 5 = 60000 (đồng)
 3 tờ tiền Hà đưa cô bán hàng có mệnh giá là: 
 $\frac{60000}{3}$ = 20000 (đồng)
 Đáp số: 20000 đồng.
Chọn đáp án:20000 đồng"
748,"<s>[INST]Hà muốn bắt chuyến xe buýt lúc 8 giờ rưỡi nhưng lại đến muộn 9 phút. Vậy Hà đã đến trạm xe buýt lúc:, các đáp án
9 giờ kém 21 phút
9 giờ 39 phút
8 giờ kém 21 phút
9 giờ 21 phút[/INST]</s>
Lời giải:Đổi 8 giờ rưỡi = 8 giờ 30 phút
 Hà đến trạm xe buýt lúc: 8 giờ 30 phút + 9 phút = 8 giờ 39 phút 
 Đổi 8 giờ 39 phút = 9 giờ kém 21 phút
Chọn đáp án:9 giờ kém 21 phút"
749,"<s>[INST]Hà, Lan, Dũng và Minh cùng đi hái cam trong vườn. Hà hái được nhiều cam hơn Lan nhưng lại ít hơn Dũng. Minh hái được ít cam hơn Lan. Bạn hái được nhiều cam nhất là:, các đáp án
Hà
Lan
Dũng
Minh[/INST]</s>
Lời giải:nan
Chọn đáp án:Dũng"
750,"<s>[INST]“2 giờ 6 phút = ……..giờ”. Số thích hợp cần điền vào chỗ chấm là:, các đáp án
126
2,1
2,6
2,06[/INST]</s>
Lời giải:2 giờ 6 phút = 2 giờ + giờ = 2,1 giờ. Số thích hợp cần điền vào chỗ chấm là: 2,1.
Chọn đáp án:2,1"
751,"<s>[INST]Hai anh em Sơn và Hà giúp bố mẹ thu hoạch xoài. Hà hái được 12 kg xoài, anh Sơn hái được gấp 3 lần Hà. Vậy cả hai anh em hái được:, các đáp án
15 kg xoài
48 kg xoài
36 kg xoài
21 kg xoài[/INST]</s>
Lời giải:Hai anh em Sơn và Hà giúp bố mẹ thu hoạch xoài. Hà hái được 12 kg xoài, anh Sơn hái được gấp 3 lần Hà. Vậy cả hai anh em hái được: 12 + 12 ${\times}$ 3 = 48
Chọn đáp án:48 kg xoài"
752,"<s>[INST]Hai ca nô khởi hành cùng một lúc, đi ngược chiều nhau trên quãng đường sông dài 175km với vận tốc 24km/h và 26km/h. Hỏi sau bao nhiêu thời gian kể từ lúc khởi hành đến lúc hai ca nô gặp nhau?, các đáp án
3 giờ
3,5 giờ
3,75 giờ
3,25 giờ[/INST]</s>
Lời giải:nan
Chọn đáp án:3,5 giờ"
753,"<s>[INST]Hai chị em Lan và Hương cùng đi giúp mẹ hái hoa trong vườn. Chị Lan hái được 8 bông hoa. Em Hương hái được 1 chục bông hoa. Cả hai chị em hái được tất cả số bông hoa là:, các đáp án
10 bông hoa
9 bông hoa
8 bông hoa
18 bông hoa[/INST]</s>
Lời giải:1 chục là 10. Hai chị em Lan và Hương cùng đi giúp mẹ hái hoa trong vườn. Chị Lan hái được 8 bông hoa. Em Hương hái được 1 chục bông hoa. Cả hai chị em hái được tất cả: 8 + 10 = 18
Chọn đáp án:18 bông hoa"
754,"<s>[INST]Hai đường chéo của hình thoi có đặc điểm:, các đáp án
bằng nhau
vuông góc
bằng nhau và vuông góc
không có đặc điểm[/INST]</s>
Lời giải:Hai đường chéo của hình thoi vuông góc với nhau
Chọn đáp án:vuông góc"
755,"<s>[INST]Hai đường thẳng song song với nhau thì……, các đáp án
cắt nhau
có thể cắt nhau
không bao giờ cắt nhau
vuông góc[/INST]</s>
Lời giải:Hai đường thẳng song song với nhau thì không bao giờ cắt nhau
Chọn đáp án:không bao giờ cắt nhau"
756,"<s>[INST]Hai đường thẳng vuông góc với nhau thì tạo thành mấy góc vuông có chung đỉnh?, các đáp án
3 góc vuông
4 góc vuông
5 góc vuông
6 góc vuông[/INST]</s>
Lời giải:Hai đường thẳng vuông góc với nhau thì tạo thành 4 góc vuông có chung đỉnh
Chọn đáp án:4 góc vuông"
757,"<s>[INST]Hai mươi bốn đơn vị, một phần mười, tám phần trăm được viết là:, các đáp án
2,4108
2410,8
241,8
24,108[/INST]</s>
Lời giải:Hai mươi bốn đơn vị, một phần mười, tám phần trăm được viết là: 24,108
Chọn đáp án:24,108"
758,"<s>[INST]Hai mươi bốn đơn vị, một phần mười, tám phần trăm được viết là:, các đáp án
24108
24,18
241,8
24,108[/INST]</s>
Lời giải:Hai mươi bốn đơn vị, một phần mười, tám phần trăm được viết là: 24,18
Chọn đáp án:24,18"
759,"<s>[INST]Hai nhóm người cần mua nền nhà. Nhóm thứ nhất có 2 người và họ muốn mua 2 nền kề nhau. Nhóm thứ hai có 3 người và họ muốn mua 3 nền kề nhau. Họ tìm được một lô đất chia thành 7 nền đang rao bán. Tính số cách chọn nền của mỗi người sao cho thỏa yêu cầu trên., các đáp án
144
125
140
132[/INST]</s>
Lời giải:nan
Chọn đáp án:144"
760,"<s>[INST]Hai ô tô A và B chở một lượng hàng. Xe ô tô A chở 7 tấn 6kg hàng, xe ô tô B chở được 7 tấn hàng. Hỏi trong hai ô tô, xe nào chở được lượng hàng nhiều hơn?
Xe A
Xe B
Cả hai xe đi quãng đường bằng nhau[/INST]</s>
Lời giải:nan
chọn đáp án:Xe A"
761,"<s>[INST]“2,3m3 = ……..l” Số thích hợp cần điền vào chỗ chấm là:, các đáp án
0,023
23
230
2300[/INST]</s>
Lời giải:2,3m3 = 2300dm3 = 2300l
Chọn đáp án:2300"
762,"<s>[INST]Hai quả dưa có cân nặng bằng nhau được đựng trong một chiếc rổ. Cân nặng của cả rổ dưa là 1 kg. Nếu lấy ra một quả dưa thì rổ dưa cân nặng 600 g. Cân nặng của chiếc rổ là:, các đáp án
100 g
200 g
300 g
400 g[/INST]</s>
Lời giải:nan
Chọn đáp án:200 g"
763,"<s>[INST]Hai số chẵn liên tiếp có tổng là 22. Hai số đó là:, các đáp án
9 và 13
10 và 11
12 và 13
10 và 12[/INST]</s>
Lời giải:Hai số chẵn liên tiếp có tổng là 22. Hai số đó là: 10 và 12
Chọn đáp án:10 và 12"
764,"<s>[INST]Hai thành phố cách nhau 208,5km, một xe máy đi từ Thành phố A đến Thành phố B với vận tốc là 38,6 km/h. Một ô tô khởi hành cùng một lúc với xe máy đi từ Thành phố B đến Thành phố A với vận tốc 44,8km/h. Hỏi sau mấy giờ xe máy và ô tô gặp nhau?, các đáp án
1 giờ
2 giờ
2,5 giờ
3 giờ[/INST]</s>
Lời giải:nan
Chọn đáp án:2,5 giờ"
765,"<s>[INST]Hai thùng dầu đựng được 681 lít dầu. Thùng thứ nhất đựng được 317 lít dầu. Hỏi thùng thứ hai đựng được bao nhiêu lít dầu?, các đáp án
384 lít
354 lít
318 lít
364 lít[/INST]</s>
Lời giải:Hai thùng dầu đựng được 681 lít dầu. Thùng thứ nhất đựng được 317 lít dầu. Hỏi thùng thứ hai đựng được: 681 - 317 = 364
Chọn đáp án:364 lít"
766,"<s>[INST]Hằng ngày, An tan học lúc 11 giờ rưỡi và về đến nhà lúc 12 giờ kém 15 phút. Thời gian An đi từ trường về nhà là:, các đáp án
10 phút
20 phút
15 phút
25 phút[/INST]</s>
Lời giải:Đổi 11 giờ rưỡi = 11 giờ 30 phút 
 12 giờ kém 15 phút = 11 giờ 45 phút 
 Thời gian An đi từ trường về nhà là: 11 giờ 45 phút – 11 giờ 30 phút = 15 phút
Chọn đáp án:15 phút"
767,"<s>[INST]Hãy cho biết, số bé nhất trong các số 59,32; 58,92; 58,23; 58,032 là:, các đáp án
59,32
58,92
58,23
58,032[/INST]</s>
Lời giải:số bé nhất trong các số 59,32; 58,92; 58,23; 58,032 là: 58,032
Chọn đáp án:58,032"
768,"<s>[INST]Hãy cho biết, số lớn nhất trong các số 16,259; 16,549; 16,99; 16,819 là:, các đáp án
16,259
16,549
16,99
16,819[/INST]</s>
Lời giải:So sánh các số 16,259 ;16,549 ;16,99 ;16,819 có:
 Phần nguyên: 16 = 16
 Phần mười: 2 < 5 < 8 < 9
 Vậy: 16,259 < 16,549 < 16,819 < 16,99.
 Vậy số lớn nhất trong các số 16,259 ; 16,549 ; 16,99 ; 16,819 là: 16,99.
Chọn đáp án:16,99"
769,"<s>[INST]Hãy chọn câu trả lời đúng:, các đáp án
Số nghịch đảo của \frac{-2}{3} là \frac{2}{3}
Số nghịch đảo của \frac{-2}{3} là \frac{-3}{2}
Số nghịch đảo của \frac{-2}{3} là \frac{-3}{-2}
Chỉ có câu A là đúng[/INST]</s>
Lời giải:nan
Chọn đáp án:Số nghịch đảo của \frac{-2}{3} là \frac{-3}{2}"
770,"<s>[INST]Hiền đã lắp ghép xong một bức tranh hình chữ nhật từ các mảnh ghép hình vuông cạnh 3 cm. Hiền tính được diện tích của bức tranh là 360 cm2. Vậy số mảnh ghép Hiền đã dùng để lắp ghép bức tranh đó là:, các đáp án
20 mảnh ghép
40 mảnh ghép
60 mảnh ghép
30 mảnh ghép[/INST]</s>
Lời giải:Diện tích mảnh ghép hình vuông là: 3 ${\times}$ 3 = 9 (cm2)
 Số mảnh ghép Hiền đã dùng để lắp ghép bức tranh là: $\frac{360}{9}$ = 40 (mảnh)
 Đáp số: 40 mảnh ghép
Chọn đáp án:40 mảnh ghép"
771,"<s>[INST]Hiền mua 4 chiếc bút và đưa cô bán hàng tờ 100000 đồng. Cô bán hàng trả lại Hiền 52000 đồng. Vậy mỗi chiếc bút Hiền mua có giá là:, các đáp án
20 000 đồng
13 000 đồng
14 000 đồng
12 000 đồng[/INST]</s>
Lời giải:Cô bán hàng trả lại Hiền số tiền là:100000 – 52000 = 48000 (đồng)
 4 chiếc bút có giá tiền là:$\frac{48000}{4}$ = 12000 (đồng)
 Đáp số: 12000 đồng
Chọn đáp án:12000 đồng"
772,"<s>[INST]“2800g = …..kg”. Số thích hợp điền vào chỗ chấm là:, các đáp án
28
2,8
0,28
280[/INST]</s>
Lời giải:2800g = 2,8kg
Chọn đáp án:2,8"
773,"<s>[INST]Hiện tại, người trở về Việt Nam từ nước ngoài phải thực hiện cách ly y tế 21 ngày thay vì 2 tuần như trước đây. Hiện tại, thời gian cách ly y tế dài hơn so với trước đây là:, các đáp án
18 ngày
19 ngày
7 ngày
10 ngày[/INST]</s>
Lời giải:Đổi: 2 tuần = 14 ngày
 Hiện tại, thời gian cách ly y tế dài hơn so với trước đây là: 21 – 14 = 7 (ngày)
 Đáp số: 7 ngày
Chọn đáp án:7 ngày"
774,"<s>[INST]Hiện tại, tổng số tuổi của bố và An là 43 tuổi. Sau 5 năm nữa, bố An sẽ tròn 40 tuổi. Số tuổi của An hiện tại là:, các đáp án
5 tuổi
6 tuổi
7 tuổi
8 tuổi[/INST]</s>
Lời giải:Tuổi của bố An hiện tại là: 40 – 5 = 35 (tuổi)
 Tuổi của An hiện tại là: 43 – 35 = 8 (tuổi)
Chọn đáp án:8 tuổi"
775,"<s>[INST]Hiệu của 123,459 và 32,87 là:, các đáp án
90,895
165,392
156,329
90,589[/INST]</s>
Lời giải:Hiệu của 123,459 và 32,87 là: 123,459 – 32,87 = 90,589.
Chọn đáp án:90,589"
776,"<s>[INST]Hiệu của 274 với tích của 17 và 5 là:, các đáp án
198
189
685
186[/INST]</s>
Lời giải:Hiệu của 274 với tích của 17 và 5 là: 274 - 17 ${\times}$ 5 = 189
Chọn đáp án:189"
777,"<s>[INST]Hiệu của 45 và 13 là:, các đáp án
58
32
23
34[/INST]</s>
Lời giải:Hiệu của 45 và 13 là: 45 – 13 = 32
Chọn đáp án:32"
778,"<s>[INST]Hiệu của 56 và 13 là:, các đáp án
43
69
67
78[/INST]</s>
Lời giải:Hiệu của 56 và 13 là: 56 – 13 = 43
Chọn đáp án:43"
779,"<s>[INST]Hiệu của số lớn nhất có ba chữ số khác nhau và số nhỏ nhất có 1 chữ số là:, các đáp án
998
876
999
987[/INST]</s>
Lời giải:Số lớn nhất có ba chữ số khác nhau là: 987. Số nhỏ nhất có một chữ số là: 0. Ta có: 987 – 0 = 987. Vậy số cần tìm là 987.
Chọn đáp án:987"
780,"<s>[INST]Hiệu của số lớn nhất có ba chữ số và số liền sau của số nhỏ nhất có ba chữ số là:, các đáp án
898
899
900
901[/INST]</s>
Lời giải:Số lớn nhất có ba chữ số là 999, số nhỏ nhất có ba chữ số là 100, số liền sau của 100 là 101. Hiệu của 999 và 101  là: 999 - 101 = 898
Chọn đáp án:898"
781,"<s>[INST]Hiệu của số lớn nhất có hai chữ số và 10 là:, các đáp án
80
90
89
91[/INST]</s>
Lời giải:Số lớn nhất có hai chỡ số là: 99
 Vậy hiệu của số lớn nhất có hai chữ số và 10 là: 99 – 10 = 89
Chọn đáp án:89"
782,"<s>[INST]Hiệu của số lớn nhất có sáu chữ số với số nhỏ nhất có sáu chữ số khác nhau là:, các đáp án
897456
897645
897654
897465[/INST]</s>
Lời giải:nan
Chọn đáp án:897654"
